Continent,Country,Date of First Case(s),Last Visited Country(s) of Confirmed Case(s),Confirmed Case(s) at First Day,Age of First Case(s),Date of First Death(s),Age of First Death(s),Days_Since_Global_First_Case,First_Case_Month,First_Case_Month_Name,First_Case_Week,First_Case_DayOfYear,First_Case_Quarter,First_Case_Year,Has_Travel_Origin,Origin_Count,Multiple_Origins,Origin,Death_Recorded,Days_To_First_Death,Multiple_First_Day_Cases
Europe,Greece,2020-02-26,Italy,1,38,2020-03-12,66,101,2,February,9,57,1,2020,True,1,False,Italy,True,15.0,False
Europe,Romania,2020-02-26,Italy,1,,2020-03-22,67,101,2,February,9,57,1,2020,True,1,False,Italy,True,25.0,False
Europe,Finland,2020-02-26,Italy,1,,2020-03-20,,101,2,February,9,57,1,2020,True,1,False,Italy,True,23.0,False
Asia,Qatar,2020-02-27,Iran,1,36,2020-03-28,57,102,2,February,9,58,1,2020,True,1,False,Iran,True,30.0,False
Europe,Estonia,2020-02-27,Iran,1,,2020-03-25,83,102,2,February,9,58,1,2020,True,1,False,Iran,True,27.0,False
Africa,Nigeria,2020-02-27,Italy,1,,2020-03-23,67,102,2,February,9,58,1,2020,True,1,False,Italy,True,25.0,False
Europe,Netherlands,2020-02-27,Italy,1,56,2020-03-06,86,102,2,February,9,58,1,2020,True,1,False,Italy,True,8.0,False
Europe,San Marino,2020-02-27,Italy,1,88,2020-03-01,88,102,2,February,9,58,1,2020,True,1,False,Italy,True,3.0,False
Europe,Denmark,2020-02-27,Italy,1,,2020-03-12,,102,2,February,9,58,1,2020,True,1,False,Italy,True,14.0,False
Asia,Azerbaijan,2020-02-28,Iran,1,,2020-03-12,51,103,2,February,9,59,1,2020,True,1,False,Iran,True,13.0,False
Europe,Belarus,2020-02-28,Iran,1,,2020-03-31,75,103,2,February,9,59,1,2020,True,1,False,Iran,True,32.0,False
Australia,New Zealand,2020-02-28,"Iran, Indonesia",1,60+,2020-03-29,70+,103,2,February,9,59,1,2020,True,2,True,Iran,True,30.0,False
Australia,New Zealand,2020-02-28,"Iran, Indonesia",1,60+,2020-03-29,70+,103,2,February,9,59,1,2020,True,2,True,Indonesia,True,30.0,False
North America,Mexico,2020-02-28,Italy,3,"35,59,41",2020-03-18,41,103,2,February,9,59,1,2020,True,1,False,Italy,True,19.0,True
Europe,Iceland,2020-02-28,Italy,1,40+,2020-03-24,70,103,2,February,9,59,1,2020,True,1,False,Italy,True,25.0,False
Europe,Lithuania,2020-02-28,Italy,1,39,2020-03-20,83,103,2,February,9,59,1,2020,True,1,False,Italy,True,21.0,False
Europe,Luxembourg,2020-02-29,Italy,1,40+,2020-03-13,94,104,2,February,9,60,1,2020,True,1,False,Italy,True,13.0,False
Europe,Ireland,2020-02-29,Italy,1,,2020-03-11,,104,2,February,9,60,1,2020,True,1,False,Italy,True,11.0,False
Europe,Monaco,2020-02-29,,1,,2020-03-28,,104,2,February,9,60,1,2020,False,0,False,,True,28.0,False
South America,Ecuador,2020-02-29,Spain,1,70+,2020-03-14,,104,2,February,9,60,1,2020,True,1,False,Spain,True,14.0,False
Asia,Armenia,2020-03-01,Iran,1,29,2020-03-26,72,105,3,March,9,61,1,2020,True,1,False,Iran,True,25.0,False
North America,Dominican Republic,2020-03-01,Italy,1,63,2020-03-16,47,105,3,March,9,61,1,2020,True,1,False,Italy,True,15.0,False
Europe,Czech Republic,2020-03-01,Italy,3,,2020-03-23,95,105,3,March,9,61,1,2020,True,1,False,Italy,True,22.0,True
Africa,Senegal,2020-03-02,France,1,54,2020-04-01,68,106,3,March,10,62,1,2020,True,1,False,France,True,30.0,False
Asia,Saudi Arabia,2020-03-02,"Iran, Bahrain",1,,2020-03-23,51,106,3,March,10,62,1,2020,True,2,True,Iran,True,21.0,False
Asia,Saudi Arabia,2020-03-02,"Iran, Bahrain",1,,2020-03-23,51,106,3,March,10,62,1,2020,True,2,True,Bahrain,True,21.0,False
Africa,Tunisia,2020-03-02,Italy,1,40,2020-03-19,72,106,3,March,10,62,1,2020,True,1,False,Italy,True,17.0,False
Europe,Andorra,2020-03-02,Italy,1,20,2020-03-22,88,106,3,March,10,62,1,2020,True,1,False,Italy,True,20.0,False
Africa,Morocco,2020-03-02,Italy,1,,2020-03-10,89,106,3,March,10,62,1,2020,True,1,False,Italy,True,8.0,False
Europe,Latvia,2020-03-02,Italy,1,99,2020-04-03,99,106,3,March,10,62,1,2020,True,1,False,Italy,True,32.0,False
Asia,Jordan,2020-03-02,Italy ,1,,2020-03-28,83,106,3,March,10,62,1,2020,True,1,False,Italy,True,26.0,False
Europe,Portugal,2020-03-02,"Italy, Spain",2,"60,33",2020-03-16,80,106,3,March,10,62,1,2020,True,2,True,Italy,True,14.0,True
Europe,Portugal,2020-03-02,"Italy, Spain",2,"60,33",2020-03-16,80,106,3,March,10,62,1,2020,True,2,True,Spain,True,14.0,True
Asia,Indonesia,2020-03-02,Japan,2,"64,31",2020-03-11,53,106,3,March,10,62,1,2020,True,1,False,Japan,True,9.0,True
South America,Argentina,2020-03-03,Italy,1,43,2020-03-08,64,107,3,March,10,63,1,2020,True,1,False,Italy,True,5.0,False
South America,Chile,2020-03-03,Italy,1,33,2020-03-22,83,107,3,March,10,63,1,2020,True,1,False,Italy,True,19.0,False
Europe,Ukraine,2020-03-03,"Italy, Romania ",1,,2020-03-13,71,107,3,March,10,63,1,2020,True,2,True,Italy,True,10.0,False
Europe,Ukraine,2020-03-03,"Italy, Romania ",1,,2020-03-13,71,107,3,March,10,63,1,2020,True,2,True,Romania,True,10.0,False
Europe,Liechtenstein,2020-03-03,Switzerland,1,,2020-04-04,,107,3,March,10,63,1,2020,True,1,False,Switzerland,True,32.0,False
Europe,Poland,2020-03-04,Germany,1,57,2020-03-12,57,108,3,March,10,64,1,2020,True,1,False,Germany,True,8.0,False
Europe,Hungary,2020-03-04,Iran,2,,2020-03-15,75,108,3,March,10,64,1,2020,True,1,False,Iran,True,11.0,True
Europe,Slovenia,2020-03-04,Italy,1,,2020-03-14,,108,3,March,10,64,1,2020,True,1,False,Italy,True,10.0,False
Asia,West Bank and Gaza,2020-03-05,"Greece, Pakistan, Egypt",7,,2020-03-25,60,109,3,March,10,65,1,2020,True,3,True,Greece,True,20.0,True
Asia,West Bank and Gaza,2020-03-05,"Greece, Pakistan, Egypt",7,,2020-03-25,60,109,3,March,10,65,1,2020,True,3,True,Pakistan,True,20.0,True
Asia,West Bank and Gaza,2020-03-05,"Greece, Pakistan, Egypt",7,,2020-03-25,60,109,3,March,10,65,1,2020,True,3,True,Egypt,True,20.0,True
Africa,South Africa,2020-03-05,Italy,1,38,2020-03-27,48,109,3,March,10,65,1,2020,True,1,False,Italy,True,22.0,False
Europe,Bosnia and Herzegovina,2020-03-05,Italy,2,,2020-03-23,,109,3,March,10,65,1,2020,True,1,False,Italy,True,18.0,True
Europe,Vatican City,2020-03-05,,1,,,,109,3,March,10,65,1,2020,False,0,False,,False,,False
Africa,Togo,2020-03-06,"Benin, Germany, France, Turkey",1,42,2020-03-27,,110,3,March,10,66,1,2020,True,4,True,Benin,True,21.0,False
Africa,Togo,2020-03-06,"Benin, Germany, France, Turkey",1,42,2020-03-27,,110,3,March,10,66,1,2020,True,4,True,Germany,True,21.0,False
Africa,Togo,2020-03-06,"Benin, Germany, France, Turkey",1,42,2020-03-27,,110,3,March,10,66,1,2020,True,4,True,France,True,21.0,False
Africa,Togo,2020-03-06,"Benin, Germany, France, Turkey",1,42,2020-03-27,,110,3,March,10,66,1,2020,True,4,True,Turkey,True,21.0,False
Africa,Cameroon,2020-03-06,France,1,58,2020-03-24,,110,3,March,10,66,1,2020,True,1,False,France,True,18.0,False
Europe,Serbia,2020-03-06,Hungary,1,43,2020-03-20,59,110,3,March,10,66,1,2020,True,1,False,Hungary,True,14.0,False
Asia,Bhutan,2020-03-06,India,1,76,,,110,3,March,10,66,1,2020,True,1,False,India,False,,False
South America,Colombia,2020-03-06,Italy,1,19,2020-03-22,58,110,3,March,10,66,1,2020,True,1,False,Italy,True,16.0,False
Europe,Slovakia,2020-03-06,Italy,1,52,2020-03-30,60,110,3,March,10,66,1,2020,True,1,False,Italy,True,24.0,False
South America,Peru,2020-03-06,"Spain, France, Czech Republic",1,25,2020-03-19,78,110,3,March,10,66,1,2020,True,3,True,Spain,True,13.0,False
South America,Peru,2020-03-06,"Spain, France, Czech Republic",1,25,2020-03-19,78,110,3,March,10,66,1,2020,True,3,True,France,True,13.0,False
South America,Peru,2020-03-06,"Spain, France, Czech Republic",1,25,2020-03-19,78,110,3,March,10,66,1,2020,True,3,True,Czech Republic,True,13.0,False
North America,Costa Rica,2020-03-06,United States,1,49,2020-03-18,87,110,3,March,10,66,1,2020,True,1,False,United States,True,12.0,False
South America,Paraguay,2020-03-07,Ecuador,1,32,2020-03-20,,111,3,March,10,67,1,2020,True,1,False,Ecuador,True,13.0,False
Europe,Moldova,2020-03-07,Italy,1,48,2020-03-18,61,111,3,March,10,67,1,2020,True,1,False,Italy,True,11.0,False
Asia,Maldives,2020-03-07,Italy,2,,2020-04-30,83,111,3,March,10,67,1,2020,True,1,False,Italy,True,54.0,True
Europe,Malta,2020-03-07,Italy,3,12,2020-04-08,92,111,3,March,10,67,1,2020,True,1,False,Italy,True,32.0,True
Asia,Bangladesh,2020-03-08,Italy,3,,2020-03-18,70+,112,3,March,10,68,1,2020,True,1,False,Italy,True,10.0,True
Asia,Bulgaria,2020-03-08,,4,"27, 25, No Trace, No Trace",2020-03-11,66,112,3,March,10,68,1,2020,False,0,False,,True,3.0,True
Africa,Burkina Faso,2020-03-09,France,2,,2020-03-19,62,113,3,March,11,69,1,2020,True,1,False,France,True,10.0,True
Europe,Albania,2020-03-09,Italy,2,"54,28",2020-03-11,73,113,3,March,11,69,1,2020,True,1,False,Italy,True,2.0,True
Europe,Cyprus,2020-03-09,"Italy, United Kingdom",2,25,2020-03-28,67,113,3,March,11,69,1,2020,True,2,True,Italy,True,19.0,True
Europe,Cyprus,2020-03-09,"Italy, United Kingdom",2,25,2020-03-28,67,113,3,March,11,69,1,2020,True,2,True,United Kingdom,True,19.0,True
Asia,Brunei,2020-03-09,Malaysia,1,53,2020-03-28,64,113,3,March,11,69,1,2020,True,1,False,Malaysia,True,19.0,False
North America,Panama,2020-03-09,Spain,1,40,2020-03-10,,113,3,March,11,69,1,2020,True,1,False,Spain,True,1.0,False
Africa,Congo (Kinshasa),2020-03-10,Belgium,1,,2020-03-31,81,114,3,March,11,70,1,2020,True,1,False,Belgium,True,21.0,False
Asia,Mongolia,2020-03-10,France,1,57,,,114,3,March,11,70,1,2020,True,1,False,France,False,,False
South America,Bolivia,2020-03-10,Italy,2,"60,64",2020-03-30,78,114,3,March,11,70,1,2020,True,1,False,Italy,True,20.0,True
North America,Honduras,2020-03-10,"Spain, Switzerland",2,"42,37",2020-03-26,60,114,3,March,11,70,1,2020,True,2,True,Spain,True,16.0,True
North America,Honduras,2020-03-10,"Spain, Switzerland",2,"42,37",2020-03-26,60,114,3,March,11,70,1,2020,True,2,True,Switzerland,True,16.0,True
North America,Jamaica,2020-03-10,United Kingdom,1,,2020-03-18,79,114,3,March,11,70,1,2020,True,1,False,United Kingdom,True,8.0,False
Africa,Cote d'Ivoire,2020-03-11,Italy,1,45,2020-03-29,,115,3,March,11,71,1,2020,True,1,False,Italy,True,18.0,False
North America,Cuba,2020-03-11,Italy,3,,2020-03-18,61,115,3,March,11,71,1,2020,True,1,False,Italy,True,7.0,True
North America,Saint Vincent and the Grenadines,2020-03-11,United Kingdom,1,30+,,,115,3,March,11,71,1,2020,True,1,False,United Kingdom,False,,False
Asia,Turkey,2020-03-11,Unspecified ,1,,2020-03-17,89,115,3,March,11,71,1,2020,True,1,False,Unspecified,True,6.0,False
Africa,Gabon,2020-03-12,France,1,27,2020-03-20,50,116,3,March,11,72,1,2020,True,1,False,France,True,8.0,False
Africa,Ghana,2020-03-12,"Norway, Turkey",2,,2020-03-21,61,116,3,March,11,72,1,2020,True,2,True,Norway,True,9.0,True
Africa,Ghana,2020-03-12,"Norway, Turkey",2,,2020-03-21,61,116,3,March,11,72,1,2020,True,2,True,Turkey,True,9.0,True
South America,Trinidad and Tobago,2020-03-12,Switzerland,1,52,2020-03-25,77,116,3,March,11,72,1,2020,True,1,False,Switzerland,True,13.0,False
South America,Guyana,2020-03-12,United States,1,52,,52,116,3,March,11,72,1,2020,True,1,False,United States,False,,False
Africa,Guinea,2020-03-13,Belgium,1,49,2020-04-15,75,117,3,March,11,73,1,2020,True,1,False,Belgium,True,33.0,False
Africa,Ethiopia,2020-03-13,Burkina Faso,1,48,2020-04-05,60,117,3,March,11,73,1,2020,True,1,False,Burkina Faso,True,23.0,False
Africa,Mauritania,2020-03-13,France,1,,2020-03-30,48,117,3,March,11,73,1,2020,True,1,False,France,True,17.0,False
Asia,Kazakhstan,2020-03-13,Germany,2,,2020-03-26,,117,3,March,11,73,1,2020,True,1,False,Germany,True,13.0,True
North America,Guatemala,2020-03-13,Italy,1,,2020-03-16,85,117,3,March,11,73,1,2020,True,1,False,Italy,True,3.0,False
