Continent,Country,Date of First Case(s),Last Visited Country(s) of Confirmed Case(s),Confirmed Case(s) at First Day,Age of First Case(s),Date of First Death(s),Age of First Death(s),Days_Since_Global_First_Case,First_Case_Month,First_Case_Month_Name,First_Case_Week,First_Case_DayOfYear,First_Case_Quarter,First_Case_Year,Has_Travel_Origin,Origin_Count,Multiple_Origins,Origin,Death_Recorded,Days_To_First_Death,Multiple_First_Day_Cases
Asia,Myanmar,2020-03-23,"United States, United Kingdom",2,"36, 26",2020-03-31,69,127,3,March,13,83,1,2020,True,2,True,United Kingdom,True,8.0,True
Africa,Libya,2020-03-24,Saudi Arabia. Tunisia,1,73,2020-04-02,85,128,3,March,13,84,1,2020,True,1,False,Saudi Arabia. Tunisia,True,9.0,False
Asia,Laos,2020-03-24,"Thailand, Cambodia",2,"28, 36",,,128,3,March,13,84,1,2020,True,2,True,Thailand,False,,True
Asia,Laos,2020-03-24,"Thailand, Cambodia",2,"28, 36",,,128,3,March,13,84,1,2020,True,2,True,Cambodia,False,,True
North America,Saint Kitts and Nevis,2020-03-24,"United States, Italy",2,"21,57",,,128,3,March,13,84,1,2020,True,2,True,United States,False,,True
North America,Saint Kitts and Nevis,2020-03-24,"United States, Italy",2,"21,57",,,128,3,March,13,84,1,2020,True,2,True,Italy,False,,True
Africa,Guinea-Bissau,2020-03-25,Congo (Kinshasa),2,,2020-04-26,53,129,3,March,13,85,1,2020,True,1,False,Congo (Kinshasa),True,32.0,True
Africa,Mali,2020-03-25,France,2,"49,62",2020-03-28,,129,3,March,13,85,1,2020,True,1,False,France,True,3.0,True
Africa,Botswana,2020-03-30,"United Kingdom, Thailand",3,,2020-04-01,79,134,3,March,14,90,1,2020,True,2,True,United Kingdom,True,2.0,True
Africa,Botswana,2020-03-30,"United Kingdom, Thailand",3,,2020-04-01,79,134,3,March,14,90,1,2020,True,2,True,Thailand,True,2.0,True
Africa,Sierra Leone,2020-03-31,France,1,37,2020-04-23,"76,69",135,3,March,14,91,1,2020,True,1,False,France,True,23.0,False
Africa,Burundi,2020-03-31,"Rwanda, United Arab Emirates",2,"56,42",2020-04-13,,135,3,March,14,91,1,2020,True,2,True,Rwanda,True,13.0,True
Africa,Burundi,2020-03-31,"Rwanda, United Arab Emirates",2,"56,42",2020-04-13,,135,3,March,14,91,1,2020,True,2,True,United Arab Emirates,True,13.0,True
Africa,Malawi,2020-04-01,India,3,"63, N/A, N/A",2020-04-07,51,136,4,April,14,92,2,2020,True,1,False,India,True,6.0,True
Africa,Western Sahara,2020-04-04,,1,,,,139,4,April,14,95,2,2020,False,0,False,,False,,False
Africa,South Sudan,2020-04-05,Ethiopia,1,29,2020-05-14,51,140,4,April,14,96,2,2020,True,1,False,Ethiopia,True,39.0,False
Africa,Sao Tome and Principe,2020-04-06,,4,,2020-04-30,55,141,4,April,15,97,2,2020,False,0,False,,True,24.0,True
Asia,Yemen,2020-04-10,,1,60,2020-04-29,,145,4,April,15,101,2,2020,False,0,False,,True,19.0,False
Africa,Comoros,2020-04-30,France,1,50,2020-05-07,,165,4,April,18,121,2,2020,True,1,False,France,True,7.0,False
Asia,Tajikistan,2020-04-30,,15,,2020-05-02,,165,4,April,18,121,2,2020,False,0,False,,True,2.0,True
Africa,Lesotho,2020-05-13,Saudi Arabia,1,,,,178,5,May,20,134,2,2020,True,1,False,Saudi Arabia,False,,False
