Continent,Country,Date of First Case(s),Last Visited Country(s) of Confirmed Case(s),Confirmed Case(s) at First Day,Age of First Case(s),Date of First Death(s),Age of First Death(s)
South America,Paraguay,2020-03-07,Ecuador,1,32,2020-03-20,
Europe,Moldova,2020-03-07,Italy,1,48,2020-03-18,61
Asia,Maldives,2020-03-07,Italy,2,,2020-04-30,83
Europe,Malta,2020-03-07,Italy,3,12,2020-04-08,92
Asia,Bangladesh,2020-03-08,Italy,3,,2020-03-18,70+
Asia,Bulgaria,2020-03-08,,4,"27, 25, No Trace, No Trace",2020-03-11,66
Africa,Burkina Faso,2020-03-09,France,2,,2020-03-19,62
Europe,Albania,2020-03-09,Italy,2,"54,28",2020-03-11,73
Europe,Cyprus,2020-03-09,"Italy, United Kingdom",2,25,2020-03-28,67
Asia,Brunei,2020-03-09,Malaysia,1,53,2020-03-28,64
North America,Panama,2020-03-09,Spain,1,40,2020-03-10,
Africa,Congo (Kinshasa),2020-03-10,Belgium,1,,2020-03-31,81
Asia,Mongolia,2020-03-10,France,1,57,,
South America,Bolivia,2020-03-10,Italy,2,"60,64",2020-03-30,78
North America,Honduras,2020-03-10,"Spain, Switzerland",2,"42,37",2020-03-26,60
North America,Jamaica,2020-03-10,United Kingdom,1,,2020-03-18,79
Africa,Cote d'Ivoire,2020-03-11,Italy,1,45,2020-03-29,
North America,Cuba,2020-03-11,Italy,3,,2020-03-18,61
North America,Saint Vincent and the Grenadines,2020-03-11,United Kingdom,1,30+,,
Asia,Turkey,2020-03-11,Unspecified ,1,,2020-03-17,89
Africa,Gabon,2020-03-12,France,1,27,2020-03-20,50
Africa,Ghana,2020-03-12,"Norway, Turkey",2,,2020-03-21,61
South America,Trinidad and Tobago,2020-03-12,Switzerland,1,52,2020-03-25,77
South America,Guyana,2020-03-12,United States,1,52,,52
Africa,Guinea,2020-03-13,Belgium,1,49,2020-04-15,75
Africa,Ethiopia,2020-03-13,Burkina Faso,1,48,2020-04-05,60
Africa,Mauritania,2020-03-13,France,1,,2020-03-30,48
Asia,Kazakhstan,2020-03-13,Germany,2,,2020-03-26,
North America,Guatemala,2020-03-13,Italy,1,,2020-03-16,85
South America,Uruguay,2020-03-13,Italy ,4,,2020-03-28,71
Europe,Kosovo,2020-03-13,Italy ,2,"77,20",2020-03-22,
North America,Antigua and Barbuda,2020-03-13,United Kingdom,1,,2020-04-07,48
North America,Saint Lucia,2020-03-13,United Kingdom,1,63,,
Africa,Sudan,2020-03-13,United Arab Emirates,1,50,2020-03-12,50
South America,Venezuela,2020-03-13,Unspecified ,2,31,2020-03-26,47
South America,Suriname,2020-03-13,Unspecified ,1,,2020-04-03,
Africa,Kenya,2020-03-13,"United States, United Kingdom",1,27,2020-03-26,66
Africa,Congo (Brazzaville),2020-03-14,France,1,50,2020-04-01,
Africa,Rwanda,2020-03-14,India,1,,,
Africa,Seychelles,2020-03-14,Italy,2,,,
Africa,Central African Republic,2020-03-14,Italy,1,74,,
Africa,Namibia,2020-03-14,Spain,2,,,
Africa,Equatorial Guinea,2020-03-14,Spain,1,42,2020-04-22,
Africa,Eswatini,2020-03-14,"United States, Lesotho",1,33,2020-04-16,59
Asia,Uzbekistan,2020-03-15,France ,1,,2020-03-27,72
